country,city,humidity,condition,temperature_f
Global Hub,Weather,N/A,57&nbsp;°F,86
Global Hub,Worldwide,N/A,75&nbsp;°F,82
Global Hub,Africa,N/A,89&nbsp;°F,66
Global Hub,North America,N/A,70&nbsp;°F,54
Global Hub,South America,N/A,75&nbsp;°F,83
Global Hub,Asia,N/A,82&nbsp;°F,66
Global Hub,Australia/Pacific,N/A,84&nbsp;°F,66
Global Hub,Europe,N/A,79&nbsp;°F,63
Global Hub,Capitals,N/A,75&nbsp;°F,75
Global Hub,Accra,N/A,84&nbsp;°F,66
Global Hub,Edmonton,N/A,49&nbsp;°F,64
Global Hub,Nassau,N/A,57&nbsp;°F,64
Global Hub,Addis Ababa,N/A,84&nbsp;°F,56
Global Hub,Frankfurt,N/A,68&nbsp;°F,84
Global Hub,New Delhi,N/A,87&nbsp;°F,76
Global Hub,Adelaide,N/A,82&nbsp;°F,64
Global Hub,Guatemala City,N/A,77&nbsp;°F,63
Global Hub,New Orleans,N/A,50&nbsp;°F,77
Global Hub,Algiers,N/A,86&nbsp;°F,78
Global Hub,Halifax,N/A,75&nbsp;°F,70
Global Hub,New York,N/A,106&nbsp;°F,73
Global Hub,Almaty,N/A,84&nbsp;°F,57
Global Hub,Hanoi,N/A,103&nbsp;°F,77
Global Hub,Oslo,N/A,72&nbsp;°F,76
Global Hub,Amman,N/A,57&nbsp;°F,84
Global Hub,Harare,N/A,70&nbsp;°F,58
Global Hub,Ottawa,N/A,84&nbsp;°F,88
Global Hub,Amsterdam,N/A,75&nbsp;°F,72
Global Hub,Havana,N/A,81&nbsp;°F,77
Global Hub,Paris,N/A,50&nbsp;°F,85
Global Hub,Anadyr,N/A,90&nbsp;°F,75
Global Hub,Helsinki,N/A,68&nbsp;°F,80
Global Hub,Perth,N/A,66&nbsp;°F,81
Global Hub,Anchorage,N/A,84&nbsp;°F,59
Global Hub,Hong Kong,N/A,82&nbsp;°F,56
Global Hub,Philadelphia,N/A,61&nbsp;°F,88
Global Hub,Ankara,N/A,107&nbsp;°F,70
Global Hub,Honolulu,N/A,53&nbsp;°F,73
Global Hub,Phoenix,N/A,86&nbsp;°F,79
Global Hub,Antananarivo,N/A,49&nbsp;°F,64
Global Hub,Houston,N/A,81&nbsp;°F,77
Global Hub,Prague,N/A,50&nbsp;°F,91
Global Hub,Asuncion,N/A,91&nbsp;°F,66
Global Hub,Indianapolis,N/A,61&nbsp;°F,64
Global Hub,Reykjavik,N/A,70&nbsp;°F,86
Global Hub,Athens,N/A,72&nbsp;°F,91
Global Hub,Islamabad,N/A,57&nbsp;°F,54
Global Hub,Rio de Janeiro,N/A,79&nbsp;°F,70
Global Hub,Atlanta,N/A,63&nbsp;°F,32
Global Hub,Istanbul,N/A,61&nbsp;°F,70
Global Hub,Riyadh,N/A,87&nbsp;°F,64
Global Hub,Auckland,N/A,81&nbsp;°F,88
Global Hub,Jakarta,N/A,70&nbsp;°F,77
Global Hub,Rome,N/A,86&nbsp;°F,88
Global Hub,Baghdad,N/A,79&nbsp;°F,74
Global Hub,Jerusalem,N/A,61&nbsp;°F,61
Global Hub,Salt Lake City,N/A,81&nbsp;°F,50
Global Hub,Bangkok,N/A,61&nbsp;°F,79
Global Hub,Johannesburg,N/A,84&nbsp;°F,55
Global Hub,San Francisco,N/A,63&nbsp;°F,82
Global Hub,Barcelona,N/A,74&nbsp;°F,73
Global Hub,Karachi,N/A,69&nbsp;°F,73
Global Hub,San Juan,N/A,85&nbsp;°F,75
Global Hub,Beijing,N/A,64&nbsp;°F,80
Global Hub,Kathmandu,N/A,82&nbsp;°F,61
Global Hub,San Salvador,N/A,79&nbsp;°F,70
Global Hub,Belgrade,N/A,75&nbsp;°F,102
Global Hub,Kingston,N/A,93&nbsp;°F,61
Global Hub,Santiago,N/A,66&nbsp;°F,92
Global Hub,Bengaluru,N/A,73&nbsp;°F,61
